ファイル名,問題ID,熟語,読み,問題文
questions-junior-part1.json,jun-047,器用,きよう,"[器用|きよう]に使って作業しました。"
questions-junior-part5.json,jun-584,公益,こうえき,"[公益|こうえき]のために活動しています。"
questions-junior-part5.json,jun-585,有益,ゆうえき,"[有益|ゆうえき]な情報を提供します。"
questions-junior-part5.json,jun-613,永遠,えいえん,"[永遠|えいえん]に続く友情です。"
questions-junior-part5.json,jun-616,食塩,しょくえん,"[食塩|しょくえん]の取りすぎに注意。"
questions-junior-part5.json,jun-624,女王,じょおう,"[女王|じょおう]が即位しました。"
questions-junior-part5.json,jun-626,国王,こくおう,"[国王|こくおう]が訪問しました。"
questions-junior-part5.json,jun-637,報恩,ほうおん,"[報恩|ほうおん]の気持ちを持っています。"
questions-junior-part5.json,jun-639,体温,たいおん,"[体温|たいおん]を測ってください。"
questions-junior-part5.json,jun-642,気温,きおん,"[気温|きおん]が上がっています。"
questions-junior-part5.json,jun-645,発音,はつおん,"[発音|はつおん]を練習しています。"
questions-junior-part5.json,jun-653,花火,はなび,"[花火|はなび]を見に行きました。"
questions-junior-part5.json,jun-656,参加,さんか,"[参加|さんか]者を募集しています。"
questions-junior-part5.json,jun-658,追加,ついか,"[追加|ついか]注文をしました。"
questions-junior-part5.json,jun-671,世界,せかい,"[世界|せかい]中を旅しました。"
questions-junior-part5.json,jun-672,業界,ぎょうかい,"[業界|ぎょうかい]の動向を調べています。"
questions-junior-part5.json,jun-673,学界,がっかい,"[学界|がっかい]で発表しました。"
questions-junior-part5.json,jun-674,境界,きょうかい,"[境界|きょうかい]線を引きました。"
questions-junior-part5.json,jun-681,公害,こうがい,"[公害|こうがい]問題を考えます。"
questions-junior-part5.json,jun-682,災害,さいがい,"[災害|さいがい]に備えています。"
questions-junior-part5.json,jun-691,価格,かかく,"[価格|かかく]を確認してください。"
questions-junior-part5.json,jun-692,人格,じんかく,"[人格|じんかく]を尊重します。"
questions-junior-part5.json,jun-694,資格,しかく,"[資格|しかく]を取得しました。"
questions-junior-part5.json,jun-719,三角,さんかく,"[三角|さんかく]形を描きました。"
questions-junior-part5.json,jun-2453,出世,しゅっせ,"[出世|しゅっせ]を目指しています。"
questions-junior-part5.json,jun-2517,年中,ねんじゅう,"[年中|ねんじゅう]無休で営業しています。"
questions-junior-part19.json,jun-add-016,食器,しょっき,"[食器|しょっき]を丁寧に洗います。"
questions-junior-part19.json,jun-add-017,器量,きりょう,"この[器量|きりょう]は大きいです。"
questions-junior-part19.json,jun-add-018,楽器,がっき,"[楽器|がっき]を演奏することができます。"
questions-junior-part19.json,jun-add-019,容器,ようき,"[容器|ようき]に水を入れてください。"
